Model,Parameters,Mean_Test_Accuracy,Mean_Test_AUC_ROC,Mean_Test_F1,Mean_Train_Accuracy
RandomForest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.6636225266362253,0.7227411731998888,0.6671277023314811,0.9992389649923896
RandomForest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.654490106544901,0.7222546566583263,0.6674416477653106,1.0
RandomForest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.6605783866057839,0.7243536280233528,0.6685055685055685,1.0
RandomForest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.6621004566210046,0.7206561023074785,0.6650534045393859,0.9840182648401826
RandomForest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.6529680365296803,0.7228245760355853,0.6606735933912127,0.987062404870624
RandomForest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.654490106544901,0.7290519877675842,0.660471092640171,0.9908675799086758
RandomForest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.654490106544901,0.7252849596886294,0.6585206275934264,0.9901065449010654
RandomForest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.6590563165905631,0.725215457325549,0.6664550294936075,0.9954337899543378
RandomForest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.6605783866057838,0.7289407839866556,0.6678541692696681,0.9969558599695586
RandomForest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.6575342465753424,0.7299555184876286,0.6614492902518793,0.9657534246575343
RandomForest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.6605783866057838,0.7295524047817626,0.6687529900467905,0.9680365296803654
RandomForest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.6560121765601218,0.7332777314428691,0.6621700489117318,0.9703196347031963
RandomForest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.6651445966514459,0.722393661384487,0.6680850472947828,0.9992389649923896
RandomForest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.6560121765601218,0.7221573533500139,0.6692555216330566,1.0
RandomForest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.6605783866057839,0.7245621351125938,0.6694230439993151,1.0
RandomForest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",0.6636225266362253,0.7199054767862108,0.6659948271335281,0.984779299847793
RandomForest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.6529680365296803,0.7226021684737282,0.6606735933912127,0.987062404870624
RandomForest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.654490106544901,0.729051987767584,0.660471092640171,0.9916286149162862
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.6377473363774734,0.7315262718932444,0.6532683730851271,0.715372907153729
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.6590563165905632,0.7547122602168473,0.6647313980647315,0.7389649923896499
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",0.6621004566210046,0.7385460105643592,0.6663316823173709,0.8264840182648402
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.6666666666666666,0.7399777592438143,0.6745157907722675,0.858447488584475
GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.6605783866057838,0.7358632193494579,0.6665421401487447,0.850076103500761
GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.6331811263318113,0.722157353350014,0.6417190362638572,0.9452054794520547
GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",0.654490106544901,0.7255490686683347,0.6648711042708734,0.9863013698630138
GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.6453576864535768,0.7145954962468725,0.6520916481892093,1.0
GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}",0.6514459665144597,0.7224075618571032,0.6502344411248157,0.9231354642313546
GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.6484018264840182,0.7116346955796496,0.652001034172261,0.9923896499238963
GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 50}",0.6438356164383562,0.7129552404781764,0.6463372368215189,0.9992389649923896
