,precision,recall,f1-score,support
Angry,0.0,0.0,0.0,0.0
Disgust,0.0,0.0,0.0,0.0
Fear,0.0,0.0,0.0,0.0
Happy,0.0,0.0,0.0,0.0
Neutral,0.0,0.0,0.0,0.0
Sad,0.9850746268656716,0.8461538461538461,0.9103448275862069,390.0
Surprise,0.9962157048249763,0.9443946188340807,0.9696132596685083,1115.0
accuracy,0.9189368770764119,0.9189368770764119,0.9189368770764119,0.9189368770764119
macro avg,0.2830414759558068,0.2557926378554181,0.2685654410363879,1505.0
weighted avg,0.9933286480780469,0.9189368770764119,0.9542546626505034,1505.0
