,precision,recall,f1-score,support
Class_0,0.9407894736842105,0.9533333333333334,0.9470198675496688,150.0
Class_1,0.9411764705882353,0.96,0.9504950495049505,150.0
Class_2,0.9419354838709677,0.9733333333333334,0.9573770491803278,150.0
Class_3,0.9652777777777778,0.9266666666666666,0.9455782312925171,150.0
Class_4,0.9530201342281879,0.9466666666666667,0.9498327759197325,150.0
Class_5,0.9403973509933775,0.9466666666666667,0.9435215946843853,150.0
Class_6,0.9383561643835616,0.9133333333333333,0.9256756756756757,150.0
accuracy,0.9457142857142857,0.9457142857142857,0.9457142857142857,0.9457142857142857
macro avg,0.9458504079323312,0.9457142857142856,0.9456428919724653,1050.0
weighted avg,0.9458504079323311,0.9457142857142857,0.9456428919724653,1050.0
